phrase,prompt
Ear my hurts and it ' s worse I when. swallow My is ear painful very and Tylenol ' hasn t helped.,Ear ache
Ear my and hurts s it ' worse I when swallow. My ear is very painful and Tylenol hasn ' t. helped,Ear ache
My hurts ear and it s ' when worse I swallow My. ear is very painful Tylenol and hasn ' t. helped,Ear ache
Ear my hurts and it ' worse s swallow when I. My is very ear and painful Tylenol hasn ' helped t.,Ear ache
"Body my feels after my weak first day in the why gym,?",Body feels weak
"My feels body after weak my day first the in, gym why?",Body feels weak
"My body feels after my first weak day in gym the why,?",Body feels weak
"Body my after feels my weak day first in the gym, why?",Body feels weak
It ' hard s to see things,Blurry vision
' it hard s to things see,Blurry vision
It ' hard see s to things,Blurry vision
It ' hard s see things to,Blurry vision
Cough my very is heavy and I mucus have.,Cough
My cough very is heavy and have mucus I.,Cough
My cough is very heavy and have I mucus.,Cough
My cough is very and heavy I have mucus.,Cough
I feel strong pain in my it knee after hit was during the football match.,Injury from sports
I strong feel in pain after my knee it was during hit the football match.,Injury from sports
I feel strong pain my in it knee after hit was during the match football.,Injury from sports
I feel strong pain my knee in after it was hit the during football match.,Injury from sports
Oh my hurts heart me I to tried calm be and I can ' t,Heart hurts
Oh heart my hurts me to I be tried calm I and can ' t,Heart hurts
My oh heart me hurts I tried to be and calm I can ' t,Heart hurts
Heart oh my hurts me tried I be to calm and I can t ',Heart hurts
standing less than minutes five my start and back to ache,Back pain
standing than less and five minutes back my start to ache,Back pain
Than standing less five minutes my and back start ache to,Back pain
standing less five minutes and than my back to start ache,Back pain
My daughter ears had her and pierced one her of ear is lobes bright and red burning hot.,Infected wound
Had my daughter her pierced ears and one of her lobes ear is red bright and hot burning.,Infected wound
My daughter her had ears and pierced one of her ear lobes red is bright hot and burning.,Infected wound
Daughter my had her pierced ears and one her of lobes ear is red and bright burning hot.,Infected wound
Pimples is a skin? disease,Acne
Is pimples skin a? disease,Acne
Pimples is skin a disease?,Acne
Is pimples a skin disease?,Acne
Fell I off and my bike since then had I hard knee pain,Knee pain
I fell bike my off and since then had I hard knee pain,Knee pain
I fell off bike my and since I then had knee pain hard,Knee pain
I fell off my and bike since then had I hard knee pain,Knee pain
I ' m having a hard reading letters time because are the all fuzzy,Blurry vision
' I m a having reading hard time the because letters are all fuzzy,Blurry vision
I ' m having hard because a time reading letters the are all fuzzy,Blurry vision
' I m having hard a time because reading the letters are all fuzzy,Blurry vision
The nerves were damaged so during on the operation my that ankle cannot I stand touched being the on scar.,Foot ache
The nerves were so during the damaged operation my on ankle that cannot being I stand on touched the scar.,Foot ache
The nerves were damaged so during the operation on my ankle that I cannot stand being touched scar on the.,Foot ache
Nerves the were so damaged during the on operation my ankle I cannot being that stand touched the on scar.,Foot ache
"Never I any had acne problem until my last pregnancy when, all sudden of my a got back covered in zits.",Acne
"I never had any acne until problem my last pregnancy, all when of my a sudden back got in covered zits.",Acne
"Never I any had problem acne until my last pregnancy, of when all a sudden my back covered in got zits.",Acne
"I never had any acne until problem my last, pregnancy when all of a my sudden back got zits covered in.",Acne
My is head heavy so can ' think t normally,Head ache
Head my is heavy so can t ' think normally,Head ache
My is head so heavy can ' t think normally,Head ache
My is head so heavy can ' think normally t,Head ache
I hurts feel my in heart,Heart hurts
I feel hurts in my heart,Heart hurts
Feel I hurts in heart my,Heart hurts
Feel I hurts in heart my,Heart hurts
I feel a pain sharp in the after eating stomach,Stomach ache
Feel I sharp a pain in the stomach eating after,Stomach ache
Feel I a sharp pain in stomach the eating after,Stomach ache
I feel sharp a in pain the stomach eating after,Stomach ache
Since I the went into I forest have pain on ear my,Ear ache
Since I went into the forest I on have pain my ear,Ear ache
Went since I the into forest I have pain my on ear,Ear ache
Since went I the into forest have pain I on my ear,Ear ache
"Am I worried for my driving because, can I barely focus I am when at wheel the my, eyes feel. teary",Blurry vision
"Am I worried my for driving, can because I barely focus when am I at the wheel my, eyes feel teary.",Blurry vision
"I am worried for my driving, can I because barely when I focus at am wheel the my, eyes feel teary.",Blurry vision
"I am worried for my, driving because I barely focus can when I am at the, wheel eyes my teary feel.",Blurry vision
i pain feel my in back,Back pain
feel I in pain my back,Back pain
i pain feel my in back,Back pain
i feel pain in my back,Back pain
i a have in pain trapes my,Muscle pain
pain I have a in my trapes,Muscle pain
have I a in pain trapes my,Muscle pain
have I a in pain trapes my,Muscle pain
I fell a in elbows stiffness my and shoulders,Joint pain
Fell I a stiffness in my shoulders elbows and,Joint pain
I fell a in stiffness and my elbows shoulders,Joint pain
Fell I stiffness a in my elbows shoulders and,Joint pain
"My hair coming is out in chunks, especially when I it wash",Hair falling out
"My is coming hair out in chunks, when especially I it wash",Hair falling out
"Hair my coming is out in, chunks especially when wash I it",Hair falling out
"My hair is coming out in chunks especially, when it wash I",Hair falling out
Ear my is. ringing,Ear ache
My ear is ringing.,Ear ache
Ear my ringing is.,Ear ache
Ear my is. ringing,Ear ache
Can ' I t turn my to neck the without left feeling a pain stabbing,Neck pain
I can t ' my turn neck to left without the feeling stabbing a pain,Neck pain
Can I t ' turn neck my the left to without feeling a stabbing pain,Neck pain
I can ' turn t my to neck the left without a feeling stabbing pain,Neck pain
Wound my opened again up,Open wound
Wound my opened again up,Open wound
Wound my up opened again,Open wound
My wound opened up again,Open wound
i hit the trying ground when to shoot basketball a,Injury from sports
i hit ground the to when trying shoot a basketball,Injury from sports
i hit the ground when to trying shoot a basketball,Injury from sports
hit I the ground trying when to shoot basketball a,Injury from sports
my shoulder hurting me is,Shoulder pain
shoulder my is me hurting,Shoulder pain
shoulder my is me hurting,Shoulder pain
shoulder my hurting is me,Shoulder pain
Every morning when I wake my up feels neck like I in slept on. wrong,Muscle pain
Morning every when I up wake my neck feels I slept like in on wrong.,Muscle pain
Morning every when I up wake my neck feels like I slept in on wrong.,Muscle pain
Morning every when I wake my up feels neck I like slept on in. wrong,Muscle pain
Discomfort I feel throughout the body general in,Body feels weak
I feel discomfort the body throughout general in,Body feels weak
I feel discomfort throughout body the in general,Body feels weak
I feel discomfort throughout body in general the,Body feels weak
I ' can t have sleep I a hard cough,Cough
I can ' t sleep I have a cough hard,Cough
Can I ' t I sleep have a cough hard,Cough
I can sleep ' t I a have hard cough,Cough
A after breakup feel I something strange me in.,Emotional pain
After a breakup I feel something strange me in.,Emotional pain
A after breakup I feel something in strange. me,Emotional pain
A after breakup I feel something in me strange.,Emotional pain
Have I strong a shoulder pain,Shoulder pain
have I a strong pain shoulder,Shoulder pain
i have strong a pain shoulder,Shoulder pain
A I have strong shoulder pain,Shoulder pain
I can ' t stand with horrible this feeling my in shoulder,Shoulder pain
Can I ' stand with t this horrible feeling in shoulder my,Shoulder pain
I can ' with t stand this feeling horrible my in shoulder,Shoulder pain
I can ' stand t with this in horrible feeling shoulder my,Shoulder pain
I ' m need in for for a treatment my fall hair,Hair falling out
' I m in for need a treatment for my hair fall,Hair falling out
I ' in m for need a treatment my for fall hair,Hair falling out
' I in m need a for for treatment my hair fall,Hair falling out
I pain in feel my ears tinnitus with,Ear ache
I feel pain in ears my with tinnitus,Ear ache
Feel I pain my ears in with tinnitus,Ear ache
I pain feel my in with ears tinnitus,Ear ache
I there feel like is something and swollen at inflamed the of back my knee.,Knee pain
I like feel there is swollen and something at inflamed back the of my knee.,Knee pain
Feel I like there is and something inflamed swollen at the of back my knee.,Knee pain
Feel I there like is something swollen and inflamed at back the of my knee.,Knee pain
There ' s in swelling my it neck hurts and.,Neck pain
There ' s in swelling neck and my hurts it.,Neck pain
' there swelling s in my neck it hurts and.,Neck pain
There ' swelling in my s neck it and hurts.,Neck pain
Feels it like hitting someone is my with head a hammer. I feel pain on top the my of head and it throbs.,Head ache
It like feels hitting someone is head my with a. hammer I feel pain on the top of and my head it. throbs,Head ache
It feels like someone hitting is with my head a hammer I. feel on pain the top of my head and throbs it.,Head ache
It feels like hitting is someone my head with hammer a. feel I on pain the top of my and it head throbs.,Head ache
I there think ' s in fluid ears my.,Ear ache
Think I there s ' fluid in my. ears,Ear ache
Think I there ' in s fluid my ears.,Ear ache
Think I there ' fluid s in ears my.,Ear ache
